,Naive,GMV,HRP,RP,SZCZ
2016-03-22,0.4622165384316126,0.3927597340493316,0.39277152059254705,0.42555838991273864,0.0728777887898513
2016-03-23,0.4735585082059064,0.4032968625109332,0.40330842580752857,0.43646503746818066,0.08307334525029719
2016-03-24,0.443759551189135,0.3752261406463606,0.3752377756299434,0.4075934892163826,0.0666128192217823
2016-03-25,0.46007719840276207,0.39041459048246585,0.39042602465856824,0.4233001002449046,0.07242159116243374
2016-03-28,0.4554492631149325,0.38457833786224493,0.3845893942298979,0.41798728829640464,0.06590349538717288
2016-03-29,0.4379338716455883,0.36667053165642516,0.3666822041578539,0.4002246384991692,0.047013372645595686
2016-03-30,0.4748011487645205,0.40263629974433623,0.4026476053916672,0.4366323821544067,0.08341661363600594
2016-03-31,0.46935835596857745,0.39755923868862264,0.397570703520123,0.4313894003056191,0.08442037495349863
2016-04-01,0.46929440132234834,0.3981370604386578,0.39814853001030004,0.43168840221360005,0.07656660670498416
2016-04-05,0.49494845074192884,0.422663001532104,0.4226746723015018,0.45673984915300636,0.10359786154250283
2016-04-06,0.5033041669682621,0.4289910093895015,0.42900273207050477,0.46396424666251224,0.10811895178886721
2016-04-07,0.4780748783708637,0.40572457028640074,0.4057361021019319,0.43980511620196605,0.08955578243509188
2016-04-08,0.4647378981837562,0.39259719884593514,0.392608622971504,0.4265618709040595,0.08008190274155469
2016-04-11,0.5005125881255859,0.4282075552768798,0.4282192715308428,0.46228157001710435,0.10041649918209505
2016-04-12,0.4978243057329701,0.42765632503094997,0.42766803676291354,0.46078452325359076,0.09251421118773995
2016-04-13,0.5384597789848244,0.46608536152956037,0.46609738851286786,0.5002617620929952,0.10822925694000363
2016-04-14,0.5492771269133787,0.4780341100889378,0.4780462350934134,0.5117144933583073,0.11722100925738421
2016-04-15,0.5406131888697601,0.46994893774624247,0.46996099642427125,0.5033588420945014,0.11328181368842571
2016-04-18,0.5244939712513268,0.4531712230362719,0.45318314407886695,0.4868949751758389,0.09619876625218038
2016-04-19,0.5372398918523207,0.46345213042348665,0.463464135805169,0.4983078749213352,0.09967689977285787
2016-04-20,0.4951699262552893,0.42189740980639967,0.4219090742952907,0.45643632321184624,0.05427704204420314
2016-04-21,0.4960459170598439,0.4209529989362415,0.4209646556776889,0.4562709313388509,0.04328881316480038
2016-04-22,0.49417934544172626,0.419885417382178,0.4198970653657552,0.4548498381237076,0.052930728002066996
2016-04-25,0.5011486785176633,0.42650684917740134,0.42651855147967765,0.4616273312271002,0.048265800253496804
2016-04-26,0.5023616842699803,0.42759264423933363,0.4276043554488942,0.46278438094800345,0.05896071181516227
2016-04-27,0.4921900967683577,0.4173452463859537,0.4173568735313211,0.4525539192153367,0.055253566753620253
2016-04-28,0.47458028700946997,0.4025778131497475,0.4025893191509593,0.436511120936222,0.052738381125919886
2016-04-29,0.4816824357381524,0.4076151704688735,0.40762671779388127,0.44248244812502646,0.05187054355131804
2016-05-03,0.5241640755077199,0.44536732360187337,0.4453796520794462,0.4823694121584523,0.08302554116552185
2016-05-04,0.5266585501143977,0.44581552029957705,0.4458277410734779,0.4837296978974537,0.08104262067614054
2016-05-05,0.5308974323470048,0.4500546657077553,0.4500669897705305,0.4879750520305248,0.08635417412686897
2016-05-06,0.4716398576933818,0.3939367338556974,0.39394804224517377,0.4303852215924464,0.0476174528160227
2016-05-09,0.4086182157670917,0.33275922710530903,0.3327696357958978,0.36828183636721445,0.015458486446336517
2016-05-10,0.40387402922854343,0.3278824086412051,0.3278927792444233,0.3634502031511977,0.015742303104136157
2016-05-11,0.4018659943693226,0.3253102853675034,0.3253206358827456,0.36110535905160246,0.014491192727470681
2016-05-12,0.3484916819292114,0.2707797441582114,0.27078953714218823,0.3069724295079861,0.01609163905104971
2016-05-13,0.3554789705629193,0.27661610589522656,0.276625922604691,0.3133262652022415,0.012221323266641937
2016-05-16,0.3717684205174381,0.29064986625295886,0.2906599833333938,0.3283735307278439,0.027863744978636973
2016-05-17,0.36916674694104645,0.287418381353137,0.2874283666132835,0.3254031429884172,0.02772994747514268
2016-05-18,0.341500770506612,0.25941959120592073,0.25942901656283746,0.29750023618313737,0.005532557885179701
