,open,close,eob
1756,10161.9424,10155.3594,2020-03-26 00:00:00+08:00
1757,10300.6191,10109.9062,2020-03-27 00:00:00+08:00
1758,9953.0361,9904.9512,2020-03-30 00:00:00+08:00
1759,10008.0254,9962.3047,2020-03-31 00:00:00+08:00
1760,9967.1162,9951.8369,2020-04-01 00:00:00+08:00
1761,9910.377,10179.2041,2020-04-02 00:00:00+08:00
1762,10155.5625,10110.1133,2020-04-03 00:00:00+08:00
1763,10312.7148,10428.9131,2020-04-07 00:00:00+08:00
1764,10372.7627,10386.5449,2020-04-08 00:00:00+08:00
1765,10453.8555,10463.0459,2020-04-09 00:00:00+08:00
1766,10459.6992,10298.4131,2020-04-10 00:00:00+08:00
1767,10225.5293,10223.1631,2020-04-13 00:00:00+08:00
1768,10300.9619,10475.7051,2020-04-14 00:00:00+08:00
1769,10468.4629,10417.374,2020-04-15 00:00:00+08:00
1770,10361.7656,10470.7939,2020-04-16 00:00:00+08:00
1771,10562.8975,10527.9902,2020-04-17 00:00:00+08:00
1772,10553.5479,10621.4971,2020-04-20 00:00:00+08:00
1773,10577.7188,10506.8564,2020-04-21 00:00:00+08:00
1774,10424.4502,10617.1924,2020-04-22 00:00:00+08:00
1775,10657.3994,10564.0459,2020-04-23 00:00:00+08:00
1776,10565.0869,10423.4619,2020-04-24 00:00:00+08:00
1777,10449.127,10452.1709,2020-04-27 00:00:00+08:00
1778,10477.7617,10501.1475,2020-04-28 00:00:00+08:00
1779,10460.9951,10514.1729,2020-04-29 00:00:00+08:00
1780,10575.5244,10721.7793,2020-04-30 00:00:00+08:00
1781,10618.165,10883.2188,2020-05-06 00:00:00+08:00
1782,10899.917,10863.2852,2020-05-07 00:00:00+08:00
1783,10923.6123,11001.5791,2020-05-08 00:00:00+08:00
1784,11053.8154,10969.2822,2020-05-11 00:00:00+08:00
1785,10972.0508,11015.5586,2020-05-12 00:00:00+08:00
1786,10978.3115,11074.5928,2020-05-13 00:00:00+08:00
1787,11026.7119,10962.1475,2020-05-14 00:00:00+08:00
1788,11013.1553,10964.8916,2020-05-15 00:00:00+08:00
1789,10969.0811,10921.1455,2020-05-18 00:00:00+08:00
1790,11023.4277,11052.8477,2020-05-19 00:00:00+08:00
1791,11056.9766,10948.4775,2020-05-20 00:00:00+08:00
1792,10999.0703,10845.3965,2020-05-21 00:00:00+08:00
1793,10832.9131,10604.9658,2020-05-22 00:00:00+08:00
1794,10602.4707,10592.8447,2020-05-25 00:00:00+08:00
1795,10655.9834,10815.4307,2020-05-26 00:00:00+08:00
1796,10823.2432,10682.6973,2020-05-27 00:00:00+08:00
